id,section,order_index,question_text,tip_discussion,triggered_patterns,created_at,IsActive,updated_at
11,Data & Analytics,11,"How do you currently handle data quality monitoring? Who is responsible, and what tools are used?",Probe: Is it proactive (automated) or reactive (manual checks)? Do they have data stewards? Are there data quality SLAs?,"[""Data Quality Monitor"",""Data Profiling Agent""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
12,Data & Analytics,12,"Is there a centralized data warehouse/lake, or are systems siloed?","Determine the existence of a Single Source of Truth (SSOT). Are data pipelines ETL/ELT? Do they use tools like Snowflake, BigQuery, or Databricks?","[""Data Fabric Architect"",""Data Lakehouse Builder""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
13,Data & Analytics,13,"How mature is your Master Data Management (MDM) for critical entities (e.g., Customer, Product, Supplier)?","Are customer IDs consistent across Sales, Support, and Billing? Is there a golden record?","[""MDM Harmonization Tool"",""Entity Resolution AI""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
14,Data & Analytics,14,"What is your current BI and reporting cadence? Is it real-time, daily, or weekly?","Identify if decisions are made on stale data. Do they have self-service BI tools (PowerBI, Tableau) or rely on IT for every report?","[""Real-time Analytics Pipeline"",""Automated Reporting Assistant""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
15,Data & Analytics,15,"Do you have a dedicated data science or advanced analytics team, and what is their primary focus?","Probe for skill levels: Descriptive analytics (what happened), Predictive (what will happen), or Prescriptive (what should we do).","[""Talent Augmentation Planner"",""AI/ML Platform Setup""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
16,Security & Compliance,16,"How mature is your cybersecurity posture, and do you have a formal incident response plan?",Assess if they have a Security Operations Center (SOC) or rely on outsourcing. Do they conduct regular penetration testing?,"[""AI Threat Intelligence"",""Automated Incident Response""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
17,Security & Compliance,17,"Which regulatory frameworks apply to you (GDPR, HIPAA, SOC2, PCI-DSS, ISO 27001), and how are they managed?",Are they manually audited (spreadsheets) or are controls automated with continuous compliance monitoring?,"[""Compliance Automation Agent"",""Regulatory Change Tracker""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
18,Security & Compliance,18,How do you handle Data Privacy (PII) and sensitive data discovery?,Is data classified at rest? Are there automated data masking or anonymization tools in place?,"[""PII Discovery & Masking"",""Data Privacy Copilot""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
19,Security & Compliance,19,What is the current process for third-party vendor security assessments?,"Is it a manual checklist sent once a year, or is there continuous monitoring with security scores (e.g., BitSight, SecurityScorecard)?","[""Vendor Risk Intelligence"",""Automated Security Scoring""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
20,Security & Compliance,20,How quickly can you identify and patch newly discovered vulnerabilities in your environment?,Measure their Mean Time to Remediate (MTTR). Do they have automated patch management?,"[""Vulnerability Prioritizer"",""Patch Automation Bot""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
21,Customer Service,21,What is your current monthly ticket volume across all support channels?,Is volume growing year-over-year? What is the peak season like? This helps size AI automation opportunities.,"[""AI Chatbot"",""Agent Assist Tool""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
22,Customer Service,22,"What channels do you support, and are they unified (Email, Chat, Social, Phone)?","Siloed channels often lead to poor experiences. Check if they have an omnichannel platform (Zendesk, Freshdesk, Salesforce).","[""Omnichannel Routing AI"",""Unified Agent Desktop""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
23,Customer Service,23,"Do you have a self-service knowledge base, and how is it maintained?","Is it static PDFs or a dynamic, searchable wiki? Is it integrated with their ticketing system?","[""Knowledge Assistant"",""Self-Service Optimizer""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
24,Customer Service,24,"How do you currently measure CSAT/NPS, and what is the average response and resolution time?",Identify automation opportunities in post-call surveys and sentiment analysis.,"[""Sentiment Analysis Engine"",""Predictive CSAT Analyzer""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
25,Sales,25,"How mature is your CRM system, and how accurate is your sales forecasting?",Compare forecast vs. actuals over the last 4 quarters. Is forecasting done by AI/ML or purely sales rep intuition?,"[""Forecasting Intelligence"",""Deal Risk Predictor""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
26,Sales,26,"How are proposals, quotes, and contracts currently generated?","Is it manual (copy-paste from Word) or automated via a CPQ (Configure, Price, Quote) system?","[""Proposal Generator"",""CPQ (Configure Price Quote) AI""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
27,Sales,27,How do you prioritize leads and account scoring?,"Are they using BANT, CHAMP, or purely manual intuition? Is there a lead scoring model?","[""Lead Scoring AI"",""Next-Best-Action Recommender""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
28,Sales,28,Where are the biggest friction points in your sales cycle?,"Look for bottlenecks: legal review, compliance, pricing approvals, or lengthy procurement processes.","[""Sales Cycle Optimizer"",""Deal Acceleration AI""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
29,Marketing,29,How do you currently personalize digital content for different customer segments?,Is it dynamic in real-time (based on behavior) or static generic messaging sent to everyone?,"[""Content Personalization AI"",""Segmentation Engine""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
30,Marketing,30,What automation tools do you use for ad buying (PPC/Programmatic) and SEO?,Are campaigns optimized manually daily or algorithmically via AI bidding?,"[""Ad Optimizer"",""SEO Content Generator""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
31,Marketing,31,How is marketing attribution (touchpoint tracking) currently handled?,"Challenges with multi-channel attribution are common. Are they using last-click, multi-touch, or algorithmic attribution?","[""Multi-Touch Attribution AI"",""Customer Journey Mapping""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
32,Marketing,32,What is the process for creating and distributing new marketing collateral?,Is there a review bottleneck? Are they using DAM (Digital Asset Management) tools?,"[""Creative Asset Generator"",""Marketing Calendar AI""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
33,Operations & Supply Chain,33,"How automated are your core operational processes (e.g., order-to-cash, procure-to-pay)?",Identify manual handoffs between departments. Count the number of times a human touches a process.,"[""Process Mining AI"",""Robotic Process Automation (RPA) Spotter""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
34,Operations & Supply Chain,34,"How do you currently manage inventory, warehousing, or logistics visibility?",For manufacturing: IoT sensors on machines. For retail: SKU-level tracking. For logistics: fleet tracking GPS.,"[""Inventory Optimizer"",""Predictive Maintenance (Mfg)""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
35,Operations & Supply Chain,35,How do you collaborate with suppliers and manage disruptions?,Probe for visibility into tier-2/tier-3 suppliers. Are they using supplier portals or email/Excel?,"[""Supply Chain Risk Radar"",""Supplier Collaboration Portal""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
36,Operations & Supply Chain,36,What is your biggest operational bottleneck causing delays or cost overruns?,"Note: Is it labor shortages, machine downtime, shipping delays, or quality issues?","[""Bottleneck Analysis AI"",""Operational Efficiency Copilot""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
37,Finance,37,"How are invoices received, processed, and approved in your accounts payable team?",Count the number of manual touches. Are they using OCR for invoice extraction? What is the approval workflow?,"[""Invoice Intelligence"",""Automated AP Processing""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
38,Finance,38,How long does your monthly/quarterly financial close and reconciliation process take?,Speed of close indicates data integration maturity. Are they using spreadsheets for consolidation?,"[""Financial Close Automation"",""Reconciliation AI""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
39,Finance,39,How do you handle Financial Planning & Analysis (FP&A) and forecasting?,"Are spreadsheets still heavily used? Is there a dedicated FP&A tool (Adaptive, Anaplan, etc.)?","[""FP&A Copilot"",""Predictive Budgeting AI""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
40,Finance,40,What is your current approach to fraud detection and transaction monitoring?,"Is it rule-based (static), or is there ML detection for anomalies?","[""Fraud Detection AI"",""Anomaly Monitoring System""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
41,HR,41,"How is recruitment sourcing, screening, and onboarding currently managed?",Assess volume of resumes processed manually. Is there an ATS (Applicant Tracking System)?,"[""Resume Screening AI"",""Recruiter Copilot""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
42,HR,42,How are Learning & Development (L&D) courses and training delivered and tracked?,Are they personalized? Is completion tracked? Do they have an LMS (Learning Management System)?,"[""L&D Recommender"",""Skills Gap Analyzer""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
43,HR,43,What tools support employee engagement and attrition tracking?,Can they predict high-risk departures? Do they conduct pulse surveys?,"[""Attrition Predictor"",""Engagement Sentiment Analyzer""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
44,HR,44,How are performance reviews and goal-setting (OKRs) managed across teams?,"Is it an annual pain point or continuous feedback? Is there a tool (Culture Amp, Lattice, 15Five)?","[""Performance Insight AI"",""Goal Alignment Tracker""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
45,Procurement,45,"How do you identify, evaluate, and onboard new suppliers?",Is it manual or digital? Do they use a supplier discovery platform?,"[""Sourcing Automation"",""Supplier Discovery AI""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
46,Procurement,46,How are procurement contracts managed throughout their lifecycle?,Are they in a CLM (Contract Lifecycle Management) system or scattered drives and emails?,"[""Contract Lifecycle Management (CLM) AI"",""Obligation Tracker""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
47,Procurement,47,How do you track and benchmark supplier performance against SLAs?,"Quantitative (scorecards, dashboards) or anecdotal? Is data shared back with suppliers?","[""Supplier Scorecard AI"",""Performance Analytics""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
48,Legal,48,"What is the volume of contracts, NDAs, and legal documents reviewed weekly?",High volume suggests AI contract review. What is the current average turnaround time?,"[""Contract Review AI"",""NDA Analyzer""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
49,Legal,49,How does the legal team stay on top of changes in relevant regulations?,"Manual monitoring (trade journals, regulators) or automated alerts (regulatory intelligence platforms)?","[""Regulatory Monitoring AI"",""Regulatory Change Impact Analysis""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
50,Legal,50,"How are legal holds, e-discovery, and litigation support currently handled?",Probe for data retrieval times. Is there a dedicated e-discovery tool?,"[""E-Discovery Assistant"",""Legal Hold Automation""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
51,Knowledge Management,51,How do employees currently search for internal documents and expertise?,"Is there a company wiki or intranet, and is it effective? Or do they rely on asking colleagues (tribal knowledge)?","[""Enterprise Search AI"",""Internal Wiki GPT""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
52,Knowledge Management,52,How are standard operating procedures (SOPs) and best practices captured and updated?,"Are they living documents (version-controlled, searchable) or dusty PDFs in a shared drive?","[""SOP Generator"",""Knowledge Base Health Monitor""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
53,Knowledge Management,53,What happens when a new employee needs to find technical knowledge to solve a problem?,Do they ask a colleague (tribal knowledge) or search a system? This reveals knowledge silos.,"[""Expertise Location AI"",""Contextual Knowledge Assistant""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
54,Project Management,54,How does the PMO track resource allocation and capacity planning across projects?,"Is it spreadsheets or enterprise PPM (Project Portfolio Management) tools like Jira, Asana, or MS Project?","[""Resource Optimizer"",""Capacity Planning AI""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
55,Project Management,55,"What is the current project delivery predictability (e.g., on-time/on-budget rate)?","Track the variance percentage. Do you have a standard delivery methodology (Agile, Waterfall, Hybrid)?","[""Delivery Risk Predictor"",""Project Health Dashboard""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
56,Project Management,56,"How are project status reports, meeting minutes, and action items generated?","Is the PM writing them manually from multiple emails and Slack threads, or is there a tool?","[""Status Report Generator"",""Meeting Intelligence Assistant""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
57,Culture & Change,57,How would you describe the overall data-driven culture of your organization?,Do leaders make decisions based on data/evidence or primarily on intuition? Is data literacy widespread?,"[""Culture Change Navigator"",""Digital Fluency Assessment""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
58,Culture & Change,58,What is the level of AI literacy among your leadership and middle management?,"Have they had AI training or workshops? Do they understand basic AI concepts (ML, NLP, Generative AI)?","[""AI Literacy Bootcamp"",""Leadership AI Workshop Planner""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
59,Culture & Change,59,How does the organization handle failure and risk-taking regarding new technologies?,"Is it a ""fail fast, learn fast"" culture, or is it highly risk-averse (requiring 100% certainty before any investment)?","[""Innovation Sandbox Planner"",""Risk-Tolerance Assessment""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
60,Culture & Change,60,What are the primary barriers to change you foresee in adopting AI?,"Top answers: Fear of job loss, lack of trust in AI, unclear business value, or lack of technical skills.","[""Change Impact Analysis"",""Stakeholder Communication Generator""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
61,Culture & Change,61,How siloed are the departments currently?,"Probe about cross-functional collaboration. Do teams share data and insights freely, or operate in isolation?","[""Silo Breaker Strategy"",""Cross-Functional AI Council Planner""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
62,Culture & Change,62,Is there a clear internal communications channel for upcoming tech changes?,Crucial for managing digital transformation. Do they have an internal comms plan for major tech rollouts?,"[""Internal Comms AI"",""Digital Change Agent""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
